agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
USGS	01098530	2000-01-01	81	A
USGS	01098530	2000-01-02	82	A
USGS	01098530	2000-01-03	88	A
USGS	01098530	2000-01-04	114	A
USGS	01098530	2000-01-05	247	A
USGS	01098530	2000-01-06	196	A
USGS	01098530	2000-01-07	174	A
USGS	01098530	2000-01-08	157	A
USGS	01098530	2000-01-09	142	A
USGS	01098530	2000-01-10	183	A
USGS	01098530	2000-01-11	272	A
USGS	01098530	2000-01-12	265	A
USGS	01098530	2000-01-13	247	A
USGS	01098530	2000-01-14	224	A
USGS	01098530	2000-01-15	200	A
USGS	01098530	2000-01-16	192	A
USGS	01098530	2000-01-17	192	A
USGS	01098530	2000-01-18	183	A
USGS	01098530	2000-01-19	199	A
USGS	01098530	2000-01-20	191	A
USGS	01098530	2000-01-21	191	A
USGS	01098530	2000-01-22	182	A
USGS	01098530	2000-01-23	173	A
USGS	01098530	2000-01-24	178	A
USGS	01098530	2000-01-25	188	A
USGS	01098530	2000-01-26	188	A
USGS	01098530	2000-01-27	181	A
USGS	01098530	2000-01-28	178	A
USGS	01098530	2000-01-29	174	A
USGS	01098530	2000-01-30	173	A
USGS	01098530	2000-01-31	186	A
USGS	01098530	2000-02-01	160	A
USGS	01098530	2000-02-02	136	A
USGS	01098530	2000-02-03	132	A
USGS	01098530	2000-02-04	133	A
USGS	01098530	2000-02-05	132	A
USGS	01098530	2000-02-06	131	A
USGS	01098530	2000-02-07	130	A
USGS	01098530	2000-02-08	128	A
USGS	01098530	2000-02-09	108	A
USGS	01098530	2000-02-10	59	A
USGS	01098530	2000-02-11	71	A
USGS	01098530	2000-02-12	80	A
USGS	01098530	2000-02-13	76	A
USGS	01098530	2000-02-14	230	A
USGS	01098530	2000-02-15	229	A
USGS	01098530	2000-02-16	195	A
USGS	01098530	2000-02-17	205	A
USGS	01098530	2000-02-18	186	A
USGS	01098530	2000-02-19	181	A
USGS	01098530	2000-02-20	163	A
USGS	01098530	2000-02-21	152	A
USGS	01098530	2000-02-22	145	A
USGS	01098530	2000-02-23	154	A
USGS	01098530	2000-02-24	198	A
USGS	01098530	2000-02-25	278	A
USGS	01098530	2000-02-26	346	A
USGS	01098530	2000-02-27	358	A
USGS	01098530	2000-02-28	393	A
USGS	01098530	2000-02-29	406	A
USGS	01098530	2000-03-01	420	A
USGS	01098530	2000-03-02	393	A
