Date,Frequency
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,15
2004-11,0
2004-12,100
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,19
2005-11,21
2005-12,58
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,6
2006-10,6
2006-11,12
2006-12,48
2007-01,0
2007-02,5
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,7
2007-10,7
2007-11,22
2007-12,60
2008-01,6
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,3
2008-09,5
2008-10,7
2008-11,17
2008-12,63
2009-01,2
2009-02,0
2009-03,0
2009-04,3
2009-05,0
2009-06,0
2009-07,0
2009-08,2
2009-09,5
2009-10,2
2009-11,24
2009-12,77
2010-01,2
2010-02,0
2010-03,0
2010-04,2
2010-05,0
2010-06,2
2010-07,0
2010-08,2
2010-09,2
2010-10,8
2010-11,31
2010-12,79
2011-01,1
2011-02,0
2011-03,1
2011-04,0
2011-05,0
2011-06,0
2011-07,1
2011-08,2
2011-09,3
2011-10,4
2011-11,23
2011-12,69
2012-01,2
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,1
2012-08,1
2012-09,4
2012-10,5
2012-11,22
2012-12,56
2013-01,1
2013-02,1
2013-03,1
2013-04,0
2013-05,0
2013-06,0
2013-07,1
2013-08,1
2013-09,3
2013-10,5
2013-11,16
2013-12,56
2014-01,2
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,1
2014-09,3
2014-10,4
2014-11,13
2014-12,39
2015-01,1
2015-02,1
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,3
2015-10,2
2015-11,11
2015-12,35
2016-01,1
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,5
2016-10,4
2016-11,11
2016-12,39
2017-01,1
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,1
2017-08,1
2017-09,5
2017-10,4
2017-11,11
2017-12,29
2018-01,1
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,1
2018-09,11
2018-10,4
2018-11,9
2018-12,29
2019-01,1
2019-02,1
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,3
2019-09,14
2019-10,4
2019-11,10
2019-12,28
2020-01,0
2020-02,1
2020-03,1
2020-04,0
2020-05,1
2020-06,0
2020-07,1
2020-08,4
2020-09,8
2020-10,2
2020-11,5
