V1,V1550,V1551,V1552,V1553,V1554,V1555,V1556,V1557,V1558,V1559,V1560,V1561,V1562,V1563,V1564,V1565,V1566,V1567,V1568,V1569,V1570,V1571,V1572,V1573,V1574,V1575,V1576,V1577,V1578,V1579,V1580,V1581,V1582,V1583,V1584,V1585,V1586,V1587,V1588,V1589,V1590,V1591,V1592,V1593,V1594,V1595,V1596,V1597,V1598,V1599,V1600,V1601,V1602,V1603,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13
W5,1818,1611,1837,1993,2095,1798,2044,1827,2329,1879,2263,2833,2085,2385,1909,1574,1586,1691,1352,1148,1426,1513,1598,1481,1415,1551,1773,1532,1437,1456,2189,2140,2692,2773,2358,2030,1745,1806,2288,2307,1864,1549,1577,1551,1560,1592,1476,1453,1304,1474,1328,1302,1805,1394,1559.568,1567.258,1641.398,1761.2,1812.57,1906.706,1756.478,2167.672,2057.356,1836.958,2047.764,1509.542,1329.63
W6,547,568,592,656,649,730,795,954,774,953,1383,1527,1378,1020,829,901,826,727,737,1423,740,689,627,612,640,842,686,691,1142,631,555,537,525,576,652,803,1157,766,736,602,549,564,602,574,572,492,475,477,456,440,481,551,467,469,518.7262,570.5974,538.776,636.5974,652.1476,826.8426,765.5098,888.9318,1390.936,1172.272,1035.424,884.9252,775.8504
W7,5714,4533,3962,4365,3541,3795,1995,5421,3392,3726,2935,6078,9699,4151,2821,3150,2805,2209,2185,2435,2806,2250,2554,2461,2820,3066,2439,2379,2353,2920,3040,2906,2843,2927,3549,3401,2549,3486,3377,4619,3146,2698,2625,2364,2455,2540,2293,2191,2353,2180,2281,2264,3288,3862,3385.324,3070.036,2984.522,2822.42,5536.714,3804.066,3765.92,2875.854,8490.978,7849.51,3861.258,2900.954,3143.446
W8,2730,2770,2420,2220,2260,1630,2320,1930,1810,1840,1760,1700,1570,1860,1780,1630,1660,1740,1920,2340,2080,2440,2550,4140,3640,5610,4210,7250,4830,5710,4150,3940,6770,4370,3260,3000,3140,2410,1960,2160,2230,2320,1970,1660,1860,2300,2080,1830,2020,2040,2430,2610,2840,2440,3725.054,4040.132,4878.148,3971.44,6021.614,4916.778,5032.804,4017.156,4925.72,6672.168,4307.336,3248.772,3155.496
W9,7484,7704,8351,9449,8680,10041,8959,10786,8973,8844,10983,10428,11373,8916,7818,7569,7809,7068,6665,6737,6937,7440,6745,6558,6735,8058,6924,6250,6298,6620,6025,5964,5975,5691,5874,5971,6311,6196,7262,6322,5908,6193,6164,5602,5442,5165,6209,5250,5245,5260,5367,7436,6370,7070,8172.588,7964.554,9081.572,8717.154,9795.402,8224.548,8647.386,10542.64,10380.7,10324.36,8076.034,7469.592,7455.116
W10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5049.854,5023.352,4966.442,5617.028,5530.654,5505.258,5445.136,5358.45,5319.102,5124.232,5086.27,5016.858,4946.984
W11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.7252,342.3688,359.0254,353.0916,398.0492,450.6238,343.696,361.2642,388.7684,427.933,380.3426,359.6092,396.8552
W12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044.298,1059.424,1065.404,1062.406,1052.726,1054.53,1047.578,1045.586,1043.542,1038.452,1049.17,1051.702,1050
W13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2370.572,2422.11,2428.848,2425.786,2407.926,2438.626,2472.306,2461.256,2457.45,2402.958,2548.512,2639.33,2624.348
W14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2346.556,2430.58,2440.53,2408.176,2426.954,2462.594,2458.492,2457.06,2499.132,2487.206,2572.352,2731.902,2469.592
W15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4543.052,5053.508,5287.722,4835.194,4515.18,4845.202,4602.91,4508.222,4499.244,4030.168,5527.654,7092.916,4323.846
W16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4549.83,5070.532,5325.694,4890.348,4584.456,4931.83,4700.34,4610.364,4805.606,4545.906,5408.394,6967.068,4273.032
