V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,F1,F2,F3,F4,F5,F6
Y1,5172.1,5133.5,5186.9,5084.6,5182,5414.3,5576.2,5752.9,5955.2,6087.8,6238.9,6317.2,6262.7,6361,6427.4,6654.9,6835.4,6925.5,7073.5,7243.994,7288.752,7333.678,7376.056,7423.142,7472.488
Y2,2070,2104,2394,1651,1492,1348,1198,1192,1105,1008,994,1420,1582,1286,1133,1322,1157,1244,1843,1651.078,1670.146,1698.032,1719.692,1742.954,1752.746
Y3,2760,2980,3200,3450,3670,3850,4000,4160,4290,4530,4720,4890,5070,5220,5420,5660,5820,5940,6070,8569.504,8763.972,8967.934,9176.056,9392.288,9610.704
Y4,3380,3670,3960,4190,4440,4700,4890,5060,5200,5490,5690,5910,6120,6340,6530,6710,6850,6980,7130,9883.298,10098.84,10319.78,10550.38,10781.4,11015.78
Y5,1980,2030,2220,2530,2610,2720,2970,2980,3100,3230,3340,3430,3810,3780,3930,3840,3890,3840,3930,7078.45,7285.262,7498.822,7721.528,7954.338,8186.344
Y6,1988.65,2073.59,2144.04,2147.85,2180.73,2240.89,2311.21,2392.71,2470.71,2572.71,2718.48,2778.76,2903.94,2918.9,2977.39,3062.05,3151.34,3361.47,4009.21,4221.47,4366.198,4506.05,4662.65,4815.442,4961.73
Y7,2158.96,2216.71,2252.75,2217.93,2215.01,2235.28,2282,2328.25,2343.31,2405.12,2502.4,2521.06,2604.74,2620.9,2640.29,2698.93,2748.12,2912.29,3669.46,3897.61,4009.156,4115.528,4236.584,4354.442,4467.694
Y8,2164.71,2169.77,2240.05,2294.09,2327.14,2351.64,2368.54,2364.42,2344.55,2347.72,2419.65,2396.56,2374.46,2371.94,2367.11,2358.06,2343.01,2347.41,2400.96,2415.742,2424.534,2435.99,2449.404,2459.48,2465.202
Y9,1921.437,1930.91,1962.385,1958.382,1969.578,1976.896,1987.062,2005.7,2022.441,2052.031,2099.409,2105.193,2117.645,2122.33,2124.897,2134.967,2150.078,2184.454,2290.372,2322.224,2338.18,2354.744,2374.65,2391.986,2403.002
Y10,1972.008,1997.897,2016.821,2030.903,2047.455,2040.738,2058.683,2076.498,2076.642,2081.677,2133.2,2130.784,2120.295,2117.319,2115.847,2097.978,2080.331,2131.712,2330.471,2378.092,2393.086,2408.78,2428.886,2446.822,2457.402
Y11,1267.788,1275.805,1291.956,1294.571,1298.083,1312.41,1326.982,1333.763,1330.927,1345.461,1367.75,1370.266,1374.701,1379.154,1383.251,1390.381,1399.371,1412.46,1483.09,1502.074,1511.268,1521.224,1533.096,1543.466,1549.358
Y12,1332.3373,1363.4794,1395.5055,1411.2128,1432.3033,1440.967,1467.2417,1496.8637,1516.1671,1549.9076,1625.3447,1653.8683,1686.5113,1707.4948,1729.6927,1751.0666,1794.4079,1844.6507,1966.8375,2017.548,2050.988,2084.56,2120.8,2155.124,2183.414
Y13,2648.7,2730,2794.1,2939.7,2984.6,3119.8,3270.2,3367.7,3469,3734.8,4006.7,4160.5,4142.1,4171.7,4296.5,4562.4,4849.3,5128.6,4661.5,4713.096,4835.776,4959.358,5078.682,5190.338,5307.68
