R,C1,C2,P1,P2
0.562017616,0.002226393,1.81519989,0.006884225,0.087265965
0.238250491,0.002987389,1.913686737,0.004210123,0.137499354
0.063778251,0.002383733,1.275531023,0.002575757,0.210434927
0.153576868,0.001665172,0.692132263,0.001571664,0.286714772
0.860214403,0.002309562,0.578684051,0.000958648,0.352087328
1.033267833,0.0045833,0.601425378,0.000587441,0.429956192
1.03772284,0.009246883,0.584893403,0.000363763,0.526563593
1.053690605,0.018717066,0.505941157,0.000229994,0.63157246
1.083771281,0.038173253,0.370645668,0.000151476,0.715827362
1.113487475,0.07859524,0.222723329,0.00010783,0.73393183
1.120994216,0.162776594,0.116830576,8.81E-05,0.664304854
1.087937688,0.336071039,0.062998197,8.93E-05,0.543330789
0.987854176,0.680895477,0.039315432,0.000118464,0.41949432
0.747202632,1.301813037,0.028368925,0.000204395,0.314893084
0.200871149,1.927699057,0.019747609,0.000423017,0.232589315
0.004198475,1.146952703,0.007566799,0.000862456,0.16821598
0.00390981,0.550882453,0.002720123,0.001394304,0.119652169
0.049903173,0.284419151,0.001126385,0.00170489,0.084610474
0.778260368,0.310836087,0.000903141,0.001809916,0.05972918
1.014505506,0.614058526,0.001213578,0.002309893,0.042174313
0.809986081,1.19097226,0.001655935,0.003845722,0.029802127
0.313291163,1.913485091,0.001986274,0.007815308,0.021077811
0.006402409,1.298159357,0.001217287,0.016332627,0.014902063
0.003271857,0.609640821,0.000569496,0.027556663,0.010518212
0.034558947,0.29131983,0.000278775,0.034643191,0.007417217
0.684128435,0.26447128,0.000232904,0.035856406,0.005228681
1.050592499,0.485337439,0.00034189,0.042264465,0.003686243
0.918866741,0.902786231,0.000508038,0.063798735,0.002599551
0.619241147,1.523104235,0.000706091,0.119095172,0.001833906
0.1138965,1.694888406,0.000729863,0.249354701,0.001294152
0.020499766,0.690814648,0.000406221,0.459951891,0.00091291
0.288564347,0.176488509,0.000258373,0.540382926,0.000643644
1.137330368,0.087313672,0.00035403,0.446461943,0.000453783
1.17967832,0.062009011,0.000551176,0.331297832,0.000320025
1.182173186,0.058236702,0.000860534,0.237763625,0.000225808
1.17968374,0.068880025,0.001343696,0.172187639,0.000159455
1.172308627,0.095932774,0.0020963,0.130414789,0.000112737
1.157510639,0.14846299,0.003263388,0.107600914,7.99E-05
1.12982954,0.243873707,0.005058304,0.101466431,5.67E-05
1.079328084,0.409183795,0.007774969,0.114418789,4.05E-05
0.989729256,0.674035909,0.011756494,0.157665184,2.91E-05
0.84033399,1.030841522,0.017204384,0.260598622,2.11E-05
0.634657648,1.316622768,0.023590212,0.487355476,1.55E-05
0.535967981,1.129564708,0.029583617,0.932896387,1.15E-05
0.911784012,0.391254598,0.03941882,1.47500995,8.61E-06
1.167664092,0.0210352,0.060156765,1.229730982,6.64E-06
1.177935153,0.001992865,0.093889418,0.762937881,5.35E-06
1.16688857,0.000612582,0.146411303,0.464235704,4.57E-06
1.148185738,0.000398417,0.227609676,0.281930829,4.23E-06
1.118485281,0.000407593,0.352033885,0.171171329,4.30E-06
1.071318623,0.0005453,0.539874791,0.10394932,4.87E-06
0.995885274,0.000848476,0.815996318,0.063169827,6.12E-06
0.873633179,0.001415319,1.201132266,0.038440269,8.46E-06
0.671022479,0.002348086,1.674861082,0.023447343,1.26E-05
0.336446228,0.003388501,2.026674683,0.01434986,1.99E-05
0.048859637,0.002874507,1.573992829,0.008794185,3.12E-05
0.029443601,0.001572429,0.850955066,0.005369705,4.46E-05
0.212170557,0.001071651,0.544745049,0.003269042,5.59E-05
0.928738463,0.001667858,0.672386539,0.001990393,6.79E-05
0.936994993,0.003271721,0.996259997,0.001216119,8.98E-05
0.782545142,0.006198411,1.433341803,0.000748275,0.000129503
0.51727472,0.010574643,1.894428858,0.000465757,0.000199107
0.142044899,0.012918942,1.915485407,0.000293487,0.000315445
0.025101947,0.008194978,1.145825286,0.000184085,0.000476951
0.066195665,0.004684669,0.630387964,0.000113832,0.000634452
0.62991111,0.004910255,0.563135497,7.00E-05,0.000763283
0.975348167,0.009379985,0.813159232,4.34E-05,0.000961686
0.868586031,0.018282689,1.193158769,2.74E-05,0.001328633
0.660973876,0.033290546,1.657711779,1.80E-05,0.001981046
0.315219102,0.0502121,1.980388437,1.23E-05,0.003102949
0.042019589,0.042201485,1.480647645,8.63E-06,0.004838588
0.029630648,0.023318076,0.789783816,5.76E-06,0.006822416
0.237086006,0.016488541,0.511526486,3.70E-06,0.008392486
0.945828689,0.026659883,0.641053485,2.39E-06,0.010066763
0.93581026,0.052640184,0.942503029,1.62E-06,0.013151844
0.774519351,0.099854008,1.341072352,1.21E-06,0.018717659
0.491802357,0.16892681,1.73815904,1.03E-06,0.028385529
0.110231118,0.194735311,1.64974078,9.69E-07,0.044135237
0.023123348,0.117108586,0.91568202,8.61E-07,0.064244696
0.090405773,0.068849258,0.482932606,6.64E-07,0.080459593
0.784030431,0.083571806,0.442176648,4.90E-07,0.090805848
0.992153238,0.164158673,0.592165851,4.03E-07,0.106791904
0.879901076,0.321448797,0.78793875,4.06E-07,0.135299154
0.663899856,0.587773143,0.980340506,5.20E-07,0.182390676
0.282396767,0.873370511,1.002910755,8.19E-07,0.253948015
0.033043715,0.676506322,0.556978031,1.34E-06,0.3336673
0.04757017,0.379153086,0.196884025,1.82E-06,0.354239224
0.511892126,0.349043135,0.092558276,2.09E-06,0.307156493
0.957250381,0.649342889,0.080766804,2.75E-06,0.250710339
0.752968367,1.238675082,0.078451894,4.66E-06,0.203063058
0.227920073,1.871034261,0.068042102,9.52E-06,0.163377489
0.005071995,1.156378474,0.030494251,1.94E-05,0.126030177
0.004193115,0.557551176,0.011840327,3.15E-05,0.092268176
0.050339334,0.289299868,0.005152289,3.87E-05,0.066047037
0.771461643,0.316556542,0.004258259,4.14E-05,0.04694365
1.009038749,0.626220894,0.005841322,5.32E-05,0.03340897
0.797635268,1.214760548,0.008073053,8.92E-05,0.023868692
0.284736467,1.925949075,0.00964989,0.000182161,0.017125167
0.005398412,1.265570987,0.005765971,0.000378936,0.012261753
0.002981056,0.608108494,0.002704848,0.000635632,0.008710391
0.029813561,0.304535247,0.001320202,0.000805301,0.006161182
0.612595925,0.280439184,0.00105407,0.000849783,0.004350803
1.030362253,0.543312185,0.001530828,0.001034736,0.003073444
0.860537013,1.068667735,0.002255212,0.001649,0.002173793
0.425730732,1.825641171,0.00297314,0.003263852,0.001539864
0.011232278,1.468871361,0.002150583,0.006926545,0.00109104
0.002597374,0.703969982,0.001034182,0.012263921,0.000771134
0.017712016,0.337819654,0.000503535,0.016361623,0.000544152
0.424505066,0.252136648,0.000352486,0.017347253,0.000383719
1.04524248,0.452779057,0.000498144,0.019876939,0.000270595
0.931343292,0.875800563,0.000746235,0.029414617,0.0001909
0.619065061,1.549814032,0.001044735,0.054760566,0.000134753
0.07611021,1.759223818,0.001040994,0.115788374,9.52E-05
0.006675665,0.79536895,0.000538946,0.218193025,6.72E-05
0.048569078,0.267424489,0.000274778,0.286903394,4.74E-05
0.862852184,0.156091161,0.000259976,0.268429259,3.34E-05
1.144055992,0.172931438,0.000396628,0.240920508,2.35E-05
1.136927484,0.210184488,0.000614444,0.226947325,1.66E-05
1.119663732,0.26673916,0.000949152,0.230062638,1.17E-05
1.095536269,0.34124497,0.001459414,0.254923153,8.27E-06
1.0669798,0.421757638,0.002230164,0.308939583,5.85E-06
1.04332139,0.475628045,0.003385696,0.40073247,4.15E-06
1.043606766,0.449484034,0.005122754,0.528313855,2.95E-06
1.083241231,0.314627068,0.007788658,0.644769371,2.10E-06
1.139221452,0.152795661,0.011985777,0.644499611,1.51E-06
1.171080889,0.067828031,0.018630472,0.513187628,1.10E-06
1.180096879,0.040395167,0.02907521,0.361088506,8.08E-07
1.179160968,0.034859028,0.045407118,0.24417034,6.10E-07
1.172384364,0.040165442,0.070855499,0.165195979,4.77E-07
1.159059336,0.056258592,0.110340015,0.114977769,3.92E-07
1.135606851,0.089076911,0.171174843,0.085013358,3.44E-07
1.094816132,0.151234566,0.26373216,0.069747405,3.28E-07
1.023109347,0.264232606,0.401171978,0.066901974,3.46E-07
0.894704064,0.456147454,0.594840941,0.078311362,4.02E-07
0.659908973,0.730038762,0.831719009,0.112341869,5.14E-07
0.258760162,0.897522596,0.969058614,0.18581982,6.99E-07
0.037198224,0.494208747,0.666951049,0.289681944,9.31E-07
0.097641736,0.159096152,0.386481961,0.31479755,1.09E-06
0.816438422,0.09376103,0.397137869,0.256216665,1.18E-06
1.014543471,0.10090232,0.590644399,0.200865737,1.37E-06
0.927454208,0.124649622,0.878727327,0.163078603,1.76E-06
0.77103984,0.161904805,1.259558262,0.140941042,2.46E-06
0.508476992,0.200245722,1.656175063,0.131030309,3.70E-06
0.146492286,0.1820937,1.671190592,0.125554615,5.72E-06
0.03200192,0.088387636,1.023231363,0.106650437,8.44E-06
0.095447948,0.041399645,0.592006545,0.076796664,1.10E-05
0.727134806,0.040788395,0.585941982,0.052112195,1.32E-05
0.946904007,0.069303236,0.853078221,0.036849337,1.68E-05
0.807201322,0.121678327,1.235380013,0.028711654,2.35E-05
0.541440388,0.197875839,1.653127278,0.025559148,3.51E-05
0.142358103,0.232987703,1.695799121,0.025497525,5.44E-05
0.020287993,0.136668723,0.99797127,0.023901759,8.03E-05
0.051243543,0.071018214,0.532659814,0.018866144,0.000102984
0.562955042,0.065410903,0.445280125,0.013670193,0.0001177
0.984165023,0.119729764,0.638017329,0.010533725,0.000139575
0.871889365,0.228634555,0.939074044,0.00954193,0.000182264
0.626080938,0.405591393,1.29873869,0.010656181,0.000258621
0.19531269,0.548585017,1.445763504,0.01429099,0.000385844
0.015509393,0.345856803,0.879422422,0.018675988,0.000553945
