Time,Rain,ONI,NIA,Dam
0,0.0,-0.7,38.225693,214.6
1,0.0,-0.7,57.99653,214.55
2,0.0,-0.7,49.119213,214.38
3,0.0,-0.7,47.03472,214.18
4,0.0,-0.7,42.22338,213.96
5,0.0,-0.7,47.721066,213.76
6,0.0,-0.7,43.880787,213.59
7,0.0,-0.7,61.20949,213.41
8,0.0,-0.7,46.59375,213.19
9,0.0,-0.7,46.770832,212.97
10,0.0,-0.7,45.55903,212.73
11,0.0,-0.7,57.37847,212.51
12,0.0,-0.7,46.71875,212.18
13,0.0,-0.7,37.555557,211.97
14,0.0,-0.7,44.644676,211.71
15,0.0,-0.7,35.90972,211.46
16,0.0,-0.7,39.02778,211.28
17,0.0,-0.7,47.491898,211.22
18,0.0,-0.7,51.917824,211.16
19,0.0,-0.7,43.385418,210.98
20,0.0,-0.7,43.87847,210.95
21,0.0,-0.7,48.467594,210.79
22,0.0,-0.7,43.07523,210.62
23,0.0,-0.7,55.211807,210.42
24,0.0,-0.7,52.86111,210.18
25,0.0,-0.7,47.29398,210.0
26,0.0,-0.7,44.41551,209.88
27,0.0,-0.7,47.09375,209.6
28,0.0,-0.7,48.71875,209.44
29,0.0,-0.7,40.891205,209.2
30,0.0,-0.7,33.921295,208.91
31,0.0,-0.5,44.988426,208.6
32,0.0,-0.5,35.601852,208.37
33,0.0,-0.5,35.09028,208.17
34,0.0,-0.5,33.789352,208.03
35,0.0,-0.5,34.68287,207.99
36,1.0,-0.5,38.78588,207.91
37,0.0,-0.5,35.302082,207.74
38,0.0,-0.5,42.092594,207.54
39,0.0,-0.5,39.385418,207.28
40,0.0,-0.5,35.913193,207.1
41,11.0,-0.5,31.099537,207.0
42,0.0,-0.5,43.243057,207.25
43,1.0,-0.5,40.855324,207.23
44,0.0,-0.5,41.58449,207.18
45,0.0,-0.5,46.083332,207.02
46,0.0,-0.5,50.251156,206.94
47,0.0,-0.5,44.702545,206.82
48,0.0,-0.5,38.94676,206.72
49,3.0,-0.5,43.320602,206.72
50,14.0,-0.5,46.39352,206.92
51,12.0,-0.5,34.916668,207.69
52,7.0,-0.5,60.229168,208.74
