date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,Covid cases
02/01/2021,-43,-15,-13,-53,-32,19,1195
03/01/2021,-46,-21,-16,-47,-10,16,1110
04/01/2021,-33,-3,-9,-46,-29,20,1919
05/01/2021,-34,-4,-10,-45,-32,20,2222
06/01/2021,-35,-4,-11,-47,-31,21,2423
07/01/2021,-36,-6,-14,-48,-32,21,2357
08/01/2021,-36,-5,-21,-49,-28,22,1987
09/01/2021,-34,-4,-22,-44,-12,16,3701
10/01/2021,-36,-6,-18,-44,-4,14,3871
11/01/2021,-34,-6,-18,-46,-29,20,2979
12/01/2021,-35,-9,-22,-46,-33,20,3410
13/01/2021,-38,-11,-22,-49,-33,19,1290
14/01/2021,-39,-14,-26,-51,-36,18,1232
15/01/2021,-40,-13,-31,-53,-35,18,1437
16/01/2021,-38,-12,-31,-50,-23,13,870
17/01/2021,-41,-14,-24,-49,-16,11,684
18/01/2021,-39,-16,-28,-51,-37,18,1748
19/01/2021,-40,-17,-29,-51,-39,19,1383
20/01/2021,-43,-20,-30,-53,-38,19,1205
21/01/2021,-41,-17,-30,-53,-38,19,1250
22/01/2021,-42,-16,-31,-53,-35,20,1164
23/01/2021,-39,-13,-29,-50,-21,14,803
24/01/2021,-41,-15,-20,-49,-13,12,708
25/01/2021,-37,-12,-21,-49,-34,18,1617
26/01/2021,-39,-14,-24,-49,-37,19,1480
27/01/2021,-40,-16,-26,-51,-36,19,1343
28/01/2021,-39,-13,-26,-50,-36,19,1278
29/01/2021,-36,-7,-28,-50,-32,19,1258
30/01/2021,-33,-1,-24,-46,-18,13,768
31/01/2021,-35,-1,-17,-44,-9,10,659
01/02/2021,-34,-2,-22,-47,-32,17,1419
02/02/2021,-35,-5,-24,-47,-36,18,1353
03/02/2021,-38,-10,-24,-51,-35,18,1490
04/02/2021,-39,-12,-24,-52,-36,19,1488
05/02/2021,-39,-11,-27,-53,-33,20,1674
06/02/2021,-37,-9,-24,-49,-19,14,1758
07/02/2021,-40,-13,-18,-50,-12,12,1836
08/02/2021,-37,-12,-25,-51,-34,18,2780
09/02/2021,-39,-13,-26,-49,-37,19,3674
10/02/2021,-37,-9,-24,-50,-35,19,3099
11/02/2021,-33,-5,-20,-46,-35,17,3397
12/02/2021,-38,-9,-22,-57,-52,23,2655
13/02/2021,-36,-8,-25,-50,-21,14,781
14/02/2021,-24,4,-4,-40,-7,9,752
15/02/2021,-32,-4,-22,-47,-31,17,1505
16/02/2021,-33,-4,-24,-47,-35,18,1294
17/02/2021,-35,-6,-24,-49,-33,19,1401
18/02/2021,-35,-6,-24,-49,-33,19,1313
19/02/2021,-37,-6,-29,-51,-30,20,1588
20/02/2021,-34,-3,-24,-47,-16,14,963
21/02/2021,-39,-8,-22,-48,-10,13,876
22/02/2021,-37,-10,-27,-49,-31,18,2017
23/02/2021,-35,-7,-25,-47,-33,19,1899
24/02/2021,-33,-4,-21,-46,-32,18,1575
25/02/2021,-33,-3,-15,-53,-52,22,1383
26/02/2021,-34,-2,-24,-48,-30,19,1784
27/02/2021,-30,2,-18,-44,-15,13,1032
28/02/2021,-32,1,-10,-42,-6,10,1101
01/03/2021,-30,1,-18,-45,-30,17,2590
02/03/2021,-31,0,-21,-44,-33,18,2122
03/03/2021,-33,-1,-20,-47,-32,18,2341
04/03/2021,-32,-1,-20,-46,-32,19,2821
05/03/2021,-33,-2,-23,-47,-29,19,4056
06/03/2021,-31,1,-16,-43,-14,13,2908
07/03/2021,-33,-1,-7,-42,-7,11,2140
08/03/2021,-32,-2,-17,-45,-29,18,4549
09/03/2021,-34,-4,-20,-46,-33,19,5897
10/03/2021,-33,-2,-21,-47,-32,19,4532
11/03/2021,-35,-4,-24,-48,-33,20,5810
12/03/2021,-36,-5,-27,-49,-30,20,6000
13/03/2021,-33,0,-21,-44,-15,14,3304
14/03/2021,-35,0,-10,-44,-7,12,2399
15/03/2021,-31,1,-17,-45,-29,18,5892
16/03/2021,-32,1,-20,-45,-33,19,5412
17/03/2021,-35,-1,-20,-47,-32,20,6035
18/03/2021,-35,-2,-20,-48,-33,20,5908
19/03/2021,-36,-2,-25,-50,-30,21,6295
20/03/2021,-34,0,-19,-46,-15,15,4577
21/03/2021,-39,-3,-15,-46,-8,13,3129
22/03/2021,-37,-3,-21,-49,-32,21,7918
23/03/2021,-39,-5,-25,-51,-35,22,7259
24/03/2021,-41,-7,-26,-53,-35,22,7289
25/03/2021,-40,-5,-24,-52,-35,22,7492
26/03/2021,-41,-6,-28,-55,-33,23,8706
27/03/2021,-39,-1,-26,-51,-17,17,5855
28/03/2021,-44,-3,-21,-51,-9,16,4109
29/03/2021,-49,-17,-26,-61,-41,25,9199
30/03/2021,-48,-13,-28,-61,-44,26,9096
31/03/2021,-44,-2,-25,-59,-46,25,8957
01/04/2021,-62,-21,-27,-72,-69,31,5865
02/04/2021,-79,-54,-41,-84,-76,39,4065
03/04/2021,-58,-21,-32,-69,-44,25,5498
04/04/2021,-56,-20,-25,-62,-22,18,4442
05/04/2021,-44,-8,-23,-57,-39,24,11839
06/04/2021,-45,-9,-26,-57,-41,25,10216
07/04/2021,-47,-10,-26,-59,-41,25,9097
08/04/2021,-45,-8,-26,-58,-41,24,9446
09/04/2021,-52,-14,-29,-66,-56,31,8998
10/04/2021,-50,-13,-30,-61,-26,21,8268
11/04/2021,-53,-16,-26,-59,-18,18,5829
12/04/2021,-41,-6,-24,-53,-34,23,10659
13/04/2021,-41,-6,-26,-53,-38,23,8360
14/04/2021,-42,-6,-26,-55,-38,24,7832
15/04/2021,-38,0,-27,-53,-36,23,7619
16/04/2021,-40,-1,-31,-55,-34,25,7784
17/04/2021,-40,-1,-29,-52,-19,19,4928
18/04/2021,-44,-5,-26,-54,-13,17,3481
19/04/2021,-39,-4,-26,-53,-35,22,7911
20/04/2021,-38,-1,-26,-51,-37,23,7066
