Time,Rain,ONI,NIA,Dam
0,0.0,-0.7,38.225693,100.7
1,0.0,-0.7,57.99653,100.63
2,0.0,-0.7,49.119213,100.56
3,0.0,-0.7,47.03472,100.55
4,0.0,-0.7,42.22338,100.48
5,0.0,-0.7,47.721066,100.5
6,0.0,-0.7,43.880787,100.49
7,0.2,-0.7,61.20949,100.59
8,0.0,-0.7,46.59375,100.47
9,0.0,-0.7,46.770832,100.54
10,0.0,-0.7,45.55903,100.51
11,0.0,-0.7,57.37847,100.54
12,0.0,-0.7,46.71875,100.47
13,0.0,-0.7,37.555557,100.5
14,0.0,-0.7,44.644676,100.45
15,0.0,-0.7,35.90972,100.48
16,0.0,-0.7,39.02778,100.24
17,0.0,-0.7,47.491898,100.7
18,0.0,-0.7,51.917824,100.67
19,0.0,-0.7,43.385418,100.57
20,0.0,-0.7,43.87847,100.52
21,0.0,-0.7,48.467594,100.5
22,0.0,-0.7,43.07523,100.52
23,0.0,-0.7,55.211807,100.51
24,0.4,-0.7,52.86111,100.31
25,0.0,-0.7,47.29398,100.45
26,0.0,-0.7,44.41551,100.35
27,0.0,-0.7,47.09375,100.86
28,0.0,-0.7,48.71875,100.74
29,0.0,-0.7,40.891205,100.62
30,0.0,-0.7,33.921295,100.51
31,0.0,-0.5,44.988426,100.9
32,0.0,-0.5,35.601852,100.9
33,0.0,-0.5,35.09028,100.43
34,2.4,-0.5,33.789352,100.7
35,0.0,-0.5,34.68287,100.8
36,0.0,-0.5,38.78588,100.36
37,0.0,-0.5,35.302082,100.44
38,0.0,-0.5,42.092594,100.39
39,0.0,-0.5,39.385418,100.34
40,3.8,-0.5,35.913193,100.3
41,2.4,-0.5,31.099537,100.27
42,0.6,-0.5,43.243057,100.26
43,2.6,-0.5,40.855324,100.24
44,0.0,-0.5,41.58449,100.22
45,0.0,-0.5,46.083332,100.2
46,0.0,-0.5,50.251156,100.3
47,0.0,-0.5,44.702545,100.62
48,0.2,-0.5,38.94676,100.64
49,13.4,-0.5,43.320602,100.67
50,2.0,-0.5,46.39352,100.29
51,30.9,-0.5,34.916668,100.44
52,0.2,-0.5,60.229168,100.53
53,0.0,-0.5,65.03935,100.72
54,0.0,-0.5,62.921295,100.25
55,0.0,-0.5,41.422455,100.43
56,0.0,-0.5,45.694443,100.74
57,0.0,-0.5,45.828705,100.35
58,0.0,-0.5,62.02778,100.1
59,1.0,-0.4,58.55787,99.96
60,0.0,-0.4,37.685184,100.31
61,0.0,-0.4,44.085648,100.56
62,0.0,-0.4,26.29514,100.53
63,0.0,-0.4,28.005787,100.5
64,0.0,-0.4,33.711807,99.99
65,0.0,-0.4,47.53472,100.53
66,0.0,-0.4,37.453705,100.37
67,2.6,-0.4,42.90972,100.41
68,0.0,-0.4,30.371529,100.45
69,0.0,-0.4,39.631943,100.48
70,0.0,-0.4,42.082176,100.54
71,0.0,-0.4,33.563656,100.75
72,0.0,-0.4,38.476852,100.86
73,0.6,-0.4,38.70023,100.7
74,0.2,-0.4,49.311344,100.57
75,0.0,-0.4,59.34028,100.45
76,0.0,-0.4,67.263885,100.35
77,0.0,-0.4,57.13426,100.27
78,0.0,-0.4,46.563656,100.24
79,0.0,-0.4,49.842594,100.15
80,0.0,-0.4,45.84722,100.21
81,0.0,-0.4,46.872684,100.24
82,0.0,-0.4,51.92361,100.2
83,0.0,-0.4,43.626156,100.12
84,16.0,-0.4,57.44676,100.18
85,1.0,-0.4,49.344906,100.31
86,0.0,-0.4,54.24653,100.35
87,1.0,-0.4,42.25347,100.37
88,9.0,-0.4,42.429398,100.4
89,0.0,-0.4,38.873844,100.44
90,0.0,-0.3,43.788193,100.45
91,0.0,-0.3,48.313656,100.45
92,0.0,-0.3,41.988426,100.44
93,0.2,-0.3,64.041664,100.43
94,0.0,-0.3,47.445602,100.42
95,0.0,-0.3,37.37963,100.45
