Time,Rain,ONI,NIA,Dam
0,0.0,-0.7,38.225693,78.63
1,0.0,-0.7,57.99653,78.63
2,0.0,-0.7,49.119213,78.61
3,0.0,-0.7,47.03472,78.59
4,0.0,-0.7,42.22338,78.56
5,0.0,-0.7,47.721066,78.54
6,6.1,-0.7,43.880787,78.51
7,0.0,-0.7,61.20949,78.51
8,0.0,-0.7,46.59375,78.51
9,0.0,-0.7,46.770832,78.48
10,0.0,-0.7,45.55903,78.47
11,0.0,-0.7,57.37847,78.44
12,0.0,-0.7,46.71875,78.44
13,0.0,-0.7,37.555557,78.41
14,0.0,-0.7,44.644676,78.37
15,0.0,-0.7,35.90972,78.33
16,0.0,-0.7,39.02778,78.29
17,0.0,-0.7,47.491898,78.25
18,0.0,-0.7,51.917824,78.22
19,0.0,-0.7,43.385418,78.2
20,0.0,-0.7,43.87847,78.17
21,0.0,-0.7,48.467594,78.14
22,0.0,-0.7,43.07523,78.11
23,0.0,-0.7,55.211807,78.07
24,0.0,-0.7,52.86111,78.05
25,0.0,-0.7,47.29398,78.02
26,0.0,-0.7,44.41551,77.98
27,0.0,-0.7,47.09375,77.94
28,0.0,-0.7,48.71875,77.87
29,0.0,-0.7,40.891205,77.83
30,0.0,-0.7,33.921295,77.78
31,0.0,-0.5,44.988426,77.73
32,0.0,-0.5,35.601852,77.69
33,0.0,-0.5,35.09028,77.66
34,1.02,-0.5,33.789352,77.59
35,0.0,-0.5,34.68287,77.57
36,0.0,-0.5,38.78588,77.51
37,0.25,-0.5,35.302082,77.45
38,0.0,-0.5,42.092594,77.4
39,0.0,-0.5,39.385418,77.35
40,1.52,-0.5,35.913193,77.3
41,0.0,-0.5,31.099537,77.25
42,0.0,-0.5,43.243057,77.22
43,0.0,-0.5,40.855324,77.15
44,0.0,-0.5,41.58449,77.09
45,0.0,-0.5,46.083332,77.02
46,0.0,-0.5,50.251156,76.95
47,0.0,-0.5,44.702545,76.9
48,1.02,-0.5,38.94676,76.88
49,8.38,-0.5,43.320602,76.85
50,0.75,-0.5,46.39352,76.83
51,16.51,-0.5,34.916668,76.78
