series_code,topic,indicator_name,short_definition,long_definition,unit_of_measure,periodicity,base_period,other_notes,aggregation_method,limitations_and_exceptions,notes_from_original_source,general_comments,source,statistical_concept_and_methodology,development_relevance,related_source_links,other_web_links,related_indicators,license_type
SH.PRG.SYPH.ZS,Health: Risk factors,Prevalence of syphilis (% of women attending antenatal care),Percentage of women attending antenatal care seropositive for syphilis,Percentage of women attending antenatal care seropositive for syphilis,,Annual,,,,,,,World Health Organization's Global Health Observatory Data Repository,,,,,,CC BY-4.0
SH.STA.IYCF.ZS,Health: Nutrition,"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)","Percentage of children age 6-23 months fed in accordance with all three infant and young child feeding (IYCF) practices (food diversity, feeding frequency, and consumption of breast milk or milk)","Percentage of children age 6-23 months fed in accordance with all three infant and young child feeding (IYCF) practices (food diversity, feeding frequency, and consumption of breast milk or milk)",,Annual,,,,,,,Demographic and Health Surveys,,,,,,CC BY-4.0
SH.STA.OWAD.FE.ZS,Health: Nutrition,"Prevalence of overweight, female (% of female adults)","Prevalence of overweight female adults is the percentage of females ages 18 and over whose Body Mass Index (BMI) is more than 25 kg/m2. Body Mass Index (BMI) is a simple index of weight-for-height, or the weight in kilograms divided by the square of the height in meters.","Prevalence of overweight female adults is the percentage of females ages 18 and over whose Body Mass Index (BMI) is more than 25 kg/m2. Body Mass Index (BMI) is a simple index of weight-for-height, or the weight in kilograms divided by the square of the height in meters.",,Annual,,,,,,,"World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/).",,,,,,CC BY-4.0
SH.STA.OWAD.MA.ZS,Health: Nutrition,"Prevalence of overweight, male (% of male adults)","Prevalence of overweight male adults is the percentage of males ages 18 and over whose Body Mass Index (BMI) is more than 25 kg/m2. Body Mass Index (BMI) is a simple index of weight-for-height, or the weight in kilograms divided by the square of the height in meters.","Prevalence of overweight male adults is the percentage of males ages 18 and over whose Body Mass Index (BMI) is more than 25 kg/m2. Body Mass Index (BMI) is a simple index of weight-for-height, or the weight in kilograms divided by the square of the height in meters.",,Annual,,,,,,,"World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/).",,,,,,CC BY-4.0
SH.STA.OWAD.ZS,Health: Nutrition,Prevalence of overweight (% of adults),"Prevalence of overweight adults is the percentage of adults ages 18 and over whose Body Mass Index (BMI) is more than 25 kg/m2. Body Mass Index (BMI) is a simple index of weight-for-height, or the weight in kilograms divided by the square of the height in meters.","Prevalence of overweight adults is the percentage of adults ages 18 and over whose Body Mass Index (BMI) is more than 25 kg/m2. Body Mass Index (BMI) is a simple index of weight-for-height, or the weight in kilograms divided by the square of the height in meters.",,Annual,,,,,,,"World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/).",,,,,,CC BY-4.0
SH.STA.PNVC.ZS,Health: Reproductive health,Postnatal care coverage (% mothers),Percentage of women with a postnatal checkup in the first two days after birth,Percentage of women with a postnatal checkup in the first two days after birth,,Annual,,,,,,,Demographic and Health Surveys,,,,,,CC BY-4.0
SH.UHC.NOP1.TO,Health: Universal Health Coverage,Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,Impoverishment at the $1.90 Poverty Line,"Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure. This indicator shows the number of households experiencing impoverishing expenditures, defined as expenditures without which the household would have been above the $1.90 poverty line, but because of the expenditures is below the poverty line.",,Annual,,,Sum,,,Aggregate data by groups are computed based on the groupings for the World Bank fiscal year in which the data was released by the World Health Organization and World Bank.,World Health Organization and World Bank. 2019. Global Monitoring Report on Financial Protection in Health 2019.,"Out-of-pocket payments are those made by people at the time of getting any type of service (preventive, curative, rehabilitative, palliative or long-term care) provided by any type of provider. They include cost-sharing (the part not covered by a third party like an insurer) and informal payments, but they exclude insurance premiums. Out-of-pocket payments exclude any reimbursement by a third party, such as the government, a health insurance fund or a private insurance company. Out-of-pocket payments are impoverishing at the $1.90 PL (PPP) for a household when consumption gross of out-of-pocket payments is higher than the $1.90 PL, but consumption net of out-of-pocket payments is lower than the 1.90 PL.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,CC BY-4.0
SH.UHC.NOP2.TO,Health: Universal Health Coverage,Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,Impoverishment at the $3.20 Poverty Line,"Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure. This indicator shows the number of households experiencing impoverishing expenditures, defined as expenditures without which the household would have been above the $1.90 poverty line, but because of the expenditures is below the poverty line.",,Annual,,,Sum,,,Aggregate data by groups are computed based on the groupings for the World Bank fiscal year in which the data was released by the World Health Organization and World Bank.,World Health Organization and World Bank. 2019. Global Monitoring Report on Financial Protection in Health 2019.,"Out-of-pocket payments are those made by people at the time of getting any type of service (preventive, curative, rehabilitative, palliative or long-term care) provided by any type of provider. They include cost-sharing (the part not covered by a third party like an insurer) and informal payments, but they exclude insurance premiums. Out-of-pocket payments exclude any reimbursement by a third party, such as the government, a health insurance fund or a private insurance company. Out-of-pocket payments are impoverishing at the $3.10 PL (PPP) for a household when consumption gross of out-of-pocket payments is higher than the $3.10 PL, but consumption net of out-of-pocket payments is lower than the 3.10 PL.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,CC BY-4.0
SH.UHC.OOPC.10.TO,Health: Universal Health Coverage,Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,"Catastrophic Health Expenditure, 10% of total expenditure/income",Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,,Annual,,,Sum,,,"Aggregate data by groups are computed based on the groupings for the World Bank fiscal year in which the data was released by the World Health Organization and World Bank.

This indicator is related to Sustainable Development Goal 3.8.2 [https://unstats.un.org/sdgs/metadata/].",World Health Organization and World Bank. 2019. Global Monitoring Report on Financial Protection in Health 2019.,"Out-of-pocket payments are those made by people at the time of getting any type of service (preventive, curative, rehabilitative, palliative or long-term care) provided by any type of provider. They include cost-sharing (the part not covered by a third party like an insurer) and informal payments, but they exclude insurance premiums. Out-of-pocket payments exclude any reimbursement by a third party, such as the government, a health insurance fund or a private insurance company. Out-of-pocket payments are defined as catastrophic at the 10% threshold when they represent 10% or more of total consumption or income.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,CC BY-4.0
SH.UHC.OOPC.25.TO,Health: Universal Health Coverage,Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,"Catastrophic Health Expenditure, 25% of total expenditure/income (thousands)",Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,,Annual,,,Sum,,,"Aggregate data by groups are computed based on the groupings for the World Bank fiscal year in which the data was released by the World Health Organization and World Bank.

This indicator is related to Sustainable Development Goal 3.8.2 [https://unstats.un.org/sdgs/metadata/].",World Health Organization and World Bank. 2019. Global Monitoring Report on Financial Protection in Health 2019.,"Out-of-pocket payments are those made by people at the time of getting any type of service (preventive, curative, rehabilitative, palliative or long-term care) provided by any type of provider. They include cost-sharing (the part not covered by a third party like an insurer) and informal payments, but they exclude insurance premiums. Out-of-pocket payments exclude any reimbursement by a third party, such as the government, a health insurance fund or a private insurance company. Out-of-pocket payments are defined as catastrophic at the 25% threshold when they represent 25% or more of total consumption or income.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,CC BY-4.0
