Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Low Fare,Terminal 1,B,27271,Deplaned,27271,2005,July
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,Terminal 1,B,29131,Enplaned,29131,2005,July
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,5415,Thru / Transit * 2,10830,2005,July
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Deplaned,Other,Terminal 1,B,35156,Deplaned,35156,2005,July
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Enplaned,Other,Terminal 1,B,34090,Enplaned,34090,2005,July
200507,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,6263,Deplaned,6263,2005,July
200507,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5500,Enplaned,5500,2005,July
200507,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,12050,Deplaned,12050,2005,July
200507,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,11638,Enplaned,11638,2005,July
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,4998,Deplaned,4998,2005,July
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,4962,Enplaned,4962,2005,July
200507,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,International,A,8055,Deplaned,8055,2005,July
200507,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,International,A,7984,Enplaned,7984,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,36641,Deplaned,36641,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,39379,Enplaned,39379,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Thru / Transit,Other,International,A,3678,Thru / Transit * 2,7356,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Deplaned,Other,International,A,7977,Deplaned,7977,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Other,International,A,8837,Enplaned,8837,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,6969,Deplaned,6969,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,International,A,10046,Enplaned,10046,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Thru / Transit,Other,International,A,2266,Thru / Transit * 2,4532,2005,July
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,6545,Deplaned,6545,2005,July
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,6094,Enplaned,6094,2005,July
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,166577,Deplaned,166577,2005,July
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,160890,Enplaned,160890,2005,July
200507,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,5493,Deplaned,5493,2005,July
200507,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,5213,Enplaned,5213,2005,July
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,5041,Deplaned,5041,2005,July
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,4744,Enplaned,4744,2005,July
200507,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,1552,Deplaned,1552,2005,July
200507,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,1484,Enplaned,1484,2005,July
200507,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Deplaned,Other,International,A,325,Deplaned,325,2005,July
200507,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Enplaned,Other,International,A,545,Enplaned,545,2005,July
200507,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,20632,Deplaned,20632,2005,July
200507,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,21686,Enplaned,21686,2005,July
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,11010,Deplaned,11010,2005,July
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,9628,Enplaned,9628,2005,July
200507,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,13638,Deplaned,13638,2005,July
200507,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,11255,Enplaned,11255,2005,July
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,97510,Deplaned,97510,2005,July
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,93791,Enplaned,93791,2005,July
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,14142,Deplaned,14142,2005,July
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,12132,Enplaned,12132,2005,July
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,B,19234,Deplaned,19234,2005,July
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,B,18368,Enplaned,18368,2005,July
200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,Terminal 1,C,7579,Deplaned,7579,2005,July
200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,Terminal 1,C,7658,Enplaned,7658,2005,July
200507,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,5284,Deplaned,5284,2005,July
200507,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 1,B,5257,Enplaned,5257,2005,July
200507,Icelandair,FI,Icelandair,FI,International,Europe,Deplaned,Other,International,A,4540,Deplaned,4540,2005,July
200507,Icelandair,FI,Icelandair,FI,International,Europe,Enplaned,Other,International,A,4341,Enplaned,4341,2005,July
200507,Independence Air,DH,Independence Air,DH,Domestic,US,Deplaned,Low Fare,International,A,10843,Deplaned,10843,2005,July
200507,Independence Air,DH,Independence Air,DH,Domestic,US,Enplaned,Low Fare,International,A,10967,Enplaned,10967,2005,July
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,9195,Deplaned,9195,2005,July
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,9086,Enplaned,9086,2005,July
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,9978,Deplaned,9978,2005,July
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,9587,Enplaned,9587,2005,July
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,6153,Deplaned,6153,2005,July
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,5646,Enplaned,5646,2005,July
200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,22389,Deplaned,22389,2005,July
200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,20511,Enplaned,20511,2005,July
200507,Mesa Airlines,YV,US Airways,US ,Domestic,US,Deplaned,Other,Terminal 1,B,2636,Deplaned,2636,2005,July
200507,Mesa Airlines,YV,US Airways,US ,Domestic,US,Enplaned,Other,Terminal 1,B,2535,Enplaned,2535,2005,July
200507,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Deplaned,Other,International,G,7751,Deplaned,7751,2005,July
200507,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Enplaned,Other,International,G,7845,Enplaned,7845,2005,July
200507,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Deplaned,Other,Terminal 1,A,1797,Deplaned,1797,2005,July
200507,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Enplaned,Other,Terminal 1,A,3238,Enplaned,3238,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Deplaned,Other,Terminal 1,C,64231,Deplaned,64231,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Enplaned,Other,Terminal 1,C,62049,Enplaned,62049,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Deplaned,Other,International,A,7229,Deplaned,7229,2005,July
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Enplaned,Other,International,A,6554,Enplaned,6554,2005,July
200507,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,12828,Deplaned,12828,2005,July
200507,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,10269,Enplaned,10269,2005,July
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Other,International,G,19211,Deplaned,19211,2005,July
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,17462,Enplaned,17462,2005,July
200507,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,7262,Deplaned,7262,2005,July
200507,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,6586,Enplaned,6586,2005,July
200507,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,103279,Deplaned,103279,2005,July
200507,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,102023,Enplaned,102023,2005,July
200507,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,3688,Deplaned,3688,2005,July
200507,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 3,F,3633,Enplaned,3633,2005,July
200507,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,Terminal 1,B,4827,Deplaned,4827,2005,July
200507,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,Terminal 1,B,4784,Enplaned,4784,2005,July
200507,TACA,TA,TACA,TA,International,Central America,Deplaned,Other,International,G,6324,Deplaned,6324,2005,July
200507,TACA,TA,TACA,TA,International,Central America,Enplaned,Other,International,G,7031,Enplaned,7031,2005,July
